Mfcc,Chroma,MelSpectogram,Centroid,Spread,Flatness,Noiseness,Rolloff,Crest,Entropy,Decrease,Contrast,Pitch,Energy,Rms,TimeEntropy,Zcr,Emotion
3.0412772,663.2284,63.27427,456.03326,592.7497,0.6038526,0.0152865015,711.7757,6.604729,0.7718894,0.06809146,0.33970448,246.77243,0.013685661,0.072272316,0.13789146,0.88868994,5
7.07276,3.8463094,0.87445587,203.64815,353.33447,0.49704397,0.0039753118,237.7665,5.00517,0.7555554,0.096634455,0.33600494,0,5.2430565E-05,0.0063183135,0.06392886,0.9056922,4
6.588779,21.763374,3.4480114,237.15999,392.8447,0.53430045,0.0051053218,327.868,5.0630746,0.7677583,0.049309537,0.32264748,0,0.0001743317,0.009464705,0.06978105,0.9011318,1
6.924051,7.9366946,1.3733759,256.32877,438.79022,0.55900556,0.0066005685,333.7056,5.7305336,0.76761657,0.09309996,0.31130502,0,0.00019481618,0.01025627,0.107438646,0.88990647,3
8.035105,2.4658065,0.64148563,259.09955,428.66138,0.5316944,0.010749982,370.55838,6.005741,0.75723547,0.06942178,0.3194107,0,0.00016299963,0.009061975,0.09224839,0.888351,6
8.425248,0.73301065,0.27948037,230.00883,395.8443,0.51255107,0.006486627,271.51514,5.919161,0.74991655,0.11226348,0.32041726,0,9.88705E-05,0.0075053643,0.08129224,0.9038971,7
4.271344,828.8776,132.20862,401.91092,565.48737,0.5884092,0.015425953,684.41626,6.480719,0.7721091,0.08339349,0.3152575,100.67025,0.005589122,0.043317266,0.14078343,0.8209541,5
7.7970195,0.6274601,0.23401688,230.63062,382.92966,0.5270571,0.004961677,300.09555,5.2270985,0.7617503,0.13333623,0.31974164,0,7.837309E-05,0.007260567,0.11213543,0.88381416,4
7.208555,3.2895749,0.47278896,249.65079,403.55182,0.5250157,0.007954587,390.3846,5.2785954,0.76660347,0.13364762,0.343096,0,8.0545935E-05,0.0073756706,0.08979714,0.8798604,1
7.5392485,0.6108757,0.21976355,282.16718,439.5121,0.5577585,0.008671351,436.78415,5.606748,0.7746405,0.13747382,0.33938292,0.6601886,0.00030189945,0.012899485,0.11947269,0.8790895,3
7.038729,2.6084666,0.21616839,270.04858,465.1974,0.5590807,0.01134841,388.47925,5.4760704,0.77198815,0.14908575,0.31958574,0,0.00012643197,0.008655112,0.12905535,0.87987113,6
7.7544975,1.1416445,0.1898914,337.89133,555.08984,0.5858003,0.020394634,622.415,5.1187615,0.78461033,0.14118986,0.32088926,0,0.00020031958,0.010798183,0.17456907,0.8786107,7
